source_id,disposition,selected_pages_or_sections,excluded_or_restricted,corpus_role,rationale
ocd-earthquake-preparedness,REFERENCE_DUPLICATIVE,p1 core earthquake action; p2 go-bag context,Vehicle-exit claim; adult repairs utilities first aid; contacts,corroboration_only,"Substantially duplicates OCD Guidebook p7 and p11."
philippines-04-irr-of-fire-code-of-the-philippines-2008-irr,ARCHIVED_SUPERSEDED_TECHNICAL,p102 evacuation plan; p148-p159 educational occupancy; p228-p233 school drills,All direct learner retrieval and any unverified legal or operational requirement,legacy_legal_and_scenario_reference,"BFP issued a revised RIRR in 2019; use this source only as legacy background pending current and local verification."
unicef-ph-typhoon,APPROVED_PARTIAL,p3-p10 family plan go-bag and typhoon; p11-p13 earthquake,p1-p2 background; p14-p17 out of scope; p18-p19 boilerplate; adult-controlled items,child_family_support,"Strong child/family and psychosocial framing with English Filipino and Taglish context."
volume-1-fire-safety-for-children,APPROVED_PARTIAL,"p195-p241 visually verified narrative only especially p210-p213; p279","Extinguisher and suppression; live-flame and pet-rescue activities; quiz and answer material p202 p243 p284 p296 p304 p322-p325",child_runtime_primary,"BFP 2024 is the best age-matched fire authority but age matching does not override unsafe or inconsistent assessment content."
volume-2-fire-safety-for-teenagers,REFERENCE_DERIVATION_ONLY,p47-p56 housekeeping and electrical/cooking hazard recognition; p167-p181 common fire causes,"Suppression p85-p166; wet-cloth cooking-fire advice; live-fire exercises p219-p226; child repair or utility work",hazard_recognition_system_rules_and_dashboard,"Derive only move-away do-not-touch and tell-an-adult semantics; retain technical correction work as adult-only."
volume-3-fire-safety-for-young-adults,REFERENCE_DERIVATION_ONLY,p109-p132 escape planning; p409-p426 emergency evacuation,"Document retrieval; physical smoke drills; damp-cloth advice; pet retrieval; suppression; first aid; rescue; ropes; driving; hazmat",evacuation_system_rules_and_dashboard,"Derive exit alternate-route low-crawl no-belongings assembly headcount and no-reentry semantics while assigning planning sweeps and assistance to adults."
deped-do-033-s2021-typhoon-flood-school-preparedness,REFERENCE_POLICY,p4 and p7 learner-role gate; p8-p9 mapping reunification warning and drills; p26-p27 local marker context,"p10-p24 school and office duties; guy wires pruning drainage electrical shutoff; marker colors as live PAGASA levels",school_governance,"Current school policy supports scene requirements but most content is institutional rather than direct dialogue."
phivolcs-project-maghanda-broadcasters-manual-2022,APPROVED_PARTIAL,"p9-p10 typhoon; p12-p13 storm surge; p18 rainfall terminology; p23-p24 flood; p41-p42 selected fire; p46-p51 earthquake terminology and actions","TPASS; wet-cloth oil/LPG actions; utility work; repair; first aid; directories; static contacts; live-status inference",child_runtime_primary_and_deterministic_support,"Strong Filipino cross-hazard source; every claim is actor phase setting currency and context gated."
pagasa-tcws-current-web,WEB_REFERENCE_PARTIAL,Current five-level TCWS meaning and limitation,Any claim that a particular signal is currently active,current_system_reference,"Replaces old classifications but cannot serve as a live warning feed."
pagasa-floods-web,WEB_REFERENCE_PARTIAL,Children avoid wading; follow warnings and move to safer ground,"Above-knee crossing threshold; candles matches utilities food or medical instructions",current_system_reference,"Specialist flood reference supports conservative floodwater avoidance after conflict filtering."
phivolcs-earthquake-primer-2026-web,WEB_REFERENCE_PARTIAL,Drop-Cover-Hold; avoid and do not reoccupy damaged buildings,Event-specific magnitude location impacts and live conditions,current_corroboration,"Current PHIVOLCS page corroborates core earthquake semantics without adding event facts to RAG."
