protocol_id,revision,hazard,settings,phase,criticality,action_code,lifecycle_state,required_approvals,source_refs,conflict_ids,domain_decision,child_safety_decision,language_decision,vr_decision,reviewer_names,review_date,review_notes
FIR-BEF-002,1,fire,home;school,before,P2_EDUCATIONAL,LEARN_FIRE_EXIT_AND_MEETING_POINT,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,"volume-1-fire-safety-for-children:PDF pages 213, 236, and 279;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 41;ocd-disaster-preparedness-guidebook:PDF page 10",CF-020,,,,,,,
FIR-BEF-003,1,fire,outdoor,before,P1_IMPORTANT,RECOGNIZE_OUTDOOR_FIRE_DISTANCE,NEEDS_CURRENT_SOURCE,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF page 213 general escape-to-safe-area claim,CF-019;CF-020,,,,,,,
FIR-DUR-001,1,fire,home;school,during,P0_CRITICAL,ALERT_AND_EVACUATE_FIRE,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF pages 211 and 213;ocd-disaster-preparedness-guidebook:PDF page 10,CF-006;CF-018,,,,,,,
FIR-DUR-002,1,fire,home;school,during,P0_CRITICAL,USE_STAIRS_NOT_ELEVATOR,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,ocd-disaster-preparedness-guidebook:PDF page 10;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 42;volume-3-fire-safety-for-young-adults:PDF page 129 evacuation narrative,,,,,,,,
FIR-DUR-003,1,fire,home;school,during,P0_CRITICAL,DO_NOT_OPEN_HOT_OR_SMOKY_DOOR,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,ocd-disaster-preparedness-guidebook:PDF page 10;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 41,,,,,,,,
FIR-DUR-004,1,fire,home;school,during,P0_CRITICAL,CRAWL_LOW_UNDER_SMOKE,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF page 211 evacuation narrative;ocd-disaster-preparedness-guidebook:PDF page 10;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 41,CF-007;CF-017,,,,,,,
FIR-DUR-005,1,fire,home;school;outdoor,during,P0_CRITICAL,STOP_DROP_ROLL,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF page 212;ocd-disaster-preparedness-guidebook:PDF page 10;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 42,,,,,,,,
FIR-DUR-006,1,fire,home;school,during,P0_CRITICAL,SIGNAL_IF_TRAPPED,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 42;ocd-disaster-preparedness-guidebook:PDF page 10,,,,,,,,
FIR-DUR-007,1,fire,home;school;outdoor,during,P0_CRITICAL,LEARNER_MUST_NOT_FIGHT_FIRE,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,"volume-1-fire-safety-for-children:PDF pages 201-203, 211-213, and 242;phivolcs-project-maghanda-broadcasters-manual-2022:PDF pages 41-42",CF-006;CF-008,,,,,,,
FIR-DUR-008,1,fire,outdoor,during,P0_CRITICAL,OUTDOOR_MOVE_AWAY_AND_ALERT,NEEDS_CURRENT_SOURCE,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF page 213 general escape-to-safe-area claim,CF-019;CF-020,,,,,,,
FIR-AFT-001,1,fire,home;school;outdoor,after,P0_CRITICAL,ONCE_OUT_STAY_OUT,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF pages 211 and 213;ocd-disaster-preparedness-guidebook:PDF page 10;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 42,,,,,,,,
FIR-AFT-002,1,fire,home;school,after,P1_IMPORTANT,FIRE_ASSEMBLY_AND_HEADCOUNT,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF page 213 evacuation and meeting-point narrative;volume-3-fire-safety-for-young-adults:PDF pages 418-420 staff-led evacuation and headcount;philippines-04-irr-of-fire-code-of-the-philippines-2008-irr:PDF page 232 school drill,,,,,,,,
FIR-AFT-003,1,fire,outdoor,after,P1_IMPORTANT,OUTDOOR_FIRE_KEEP_DISTANCE_AFTER,NEEDS_CURRENT_SOURCE,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF page 213 general safe-area claim,CF-019,,,,,,,
FIR-AFT-004,1,fire,home;school;outdoor,after,P1_IMPORTANT,REPORT_FIRE_INJURY,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 42 injury-check handoff;volume-1-fire-safety-for-children:PDF pages 211-213 adult and firefighter handoff,CF-016,,,,,,,
TYP-BEF-001,1,typhoon,home;school;outdoor,before,P1_IMPORTANT,FOLLOW_OFFICIAL_WEATHER_INFORMATION,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF pages 9-10;unicef-ph-typhoon:PDF pages 8-10;pagasa-tcws-current-web:Current TCWS learning page,CF-001;CF-012,,,,,,,
TYP-BEF-002,1,typhoon,home,before,P2_EDUCATIONAL,KNOW_HOME_TYPHOON_PLAN_AND_GO_BAG,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,unicef-ph-typhoon:PDF pages 3-8;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 9,CF-009;CF-010,,,,,,,
TYP-BEF-003,1,typhoon,school,before,P2_EDUCATIONAL,KNOW_SCHOOL_WARNING_ROUTE_AND_REUNIFICATION,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,deped-do-033-s2021-typhoon-flood-school-preparedness:PDF pages 7-9 and 26-27;lrmds-sdrr-manual-book-1:PDF pages 21-22,CF-014;CF-020,,,,,,,
TYP-BEF-004,1,typhoon,outdoor,before,P1_IMPORTANT,RETURN_TO_APPROVED_SHELTER_EARLY,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 9;ocd-disaster-preparedness-guidebook:PDF pages 3-5,CF-020,,,,,,,
TYP-BEF-005,1,typhoon,home;school;outdoor,before,P0_CRITICAL,OBEY_AUTHENTICATED_EVACUATION_ORDER,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,unicef-ph-typhoon:PDF pages 8-9;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 9;ocd-disaster-preparedness-guidebook:PDF pages 3-5,CF-011;CF-020,,,,,,,
TYP-DUR-001,1,typhoon,home;school,during,P0_CRITICAL,SHELTER_AWAY_FROM_WINDOWS,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 10;unicef-ph-typhoon:PDF page 9;ocd-disaster-preparedness-guidebook:PDF page 3,CF-011,,,,,,,
TYP-DUR-002,1,typhoon,school,during,P0_CRITICAL,FOLLOW_TEACHER_TYPHOON_INSTRUCTION,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,deped-do-033-s2021-typhoon-flood-school-preparedness:PDF pages 7-9;unicef-ph-typhoon:PDF page 9,CF-014;CF-020,,,,,,,
TYP-DUR-003,1,typhoon,outdoor,during,P0_CRITICAL,OUTDOOR_REACH_APPROVED_TYPHOON_SHELTER,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF pages 9-10 and 23;ocd-disaster-preparedness-guidebook:PDF pages 3-5,CF-020,,,,,,,
TYP-DUR-004,1,typhoon,home;school;outdoor,during,P0_CRITICAL,NEVER_ENTER_FLOODWATER,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 23;ocd-disaster-preparedness-guidebook:PDF page 5;pagasa-floods-web:Flood countermeasures and safety-rules sections,CF-005,,,,,,,
TYP-DUR-005,1,typhoon,home;school;outdoor,during,P0_CRITICAL,KEEP_AWAY_FROM_DOWNED_POWER_LINES,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 10;ocd-disaster-preparedness-guidebook:PDF pages 3 and 5,CF-016,,,,,,,
TYP-DUR-006,1,typhoon,home;school,during,P0_CRITICAL,MOVE_HIGHER_IF_TRAPPED_BY_RISING_WATER,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 23;pagasa-floods-web:Flood countermeasures section,CF-020,,,,,,,
TYP-AFT-001,1,typhoon,home;school;outdoor,after,P0_CRITICAL,WAIT_FOR_TYPHOON_CLEARANCE,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 10;unicef-ph-typhoon:PDF page 10;ocd-disaster-preparedness-guidebook:PDF pages 3-5,,,,,,,,
TYP-AFT-002,1,typhoon,home;school;outdoor,after,P0_CRITICAL,AVOID_POST_TYPHOON_DAMAGE,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 10;ocd-disaster-preparedness-guidebook:PDF pages 3 and 5,CF-016,,,,,,,
TYP-AFT-003,1,typhoon,school,after,P1_IMPORTANT,SCHOOL_REUNIFICATION_AFTER_TYPHOON,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,deped-do-033-s2021-typhoon-flood-school-preparedness:PDF pages 8-9;lrmds-sdrr-manual-book-1:PDF pages 16-18,CF-020,,,,,,,
TYP-AFT-004,1,typhoon,home,after,P2_EDUCATIONAL,REPORT_FEELINGS_AFTER_TYPHOON,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,unicef-ph-typhoon:PDF pages 2 and 10,,,,,,,,
TYP-AFT-005,1,typhoon,outdoor,after,P1_IMPORTANT,OUTDOOR_REMAIN_SHELTERED_AFTER_TYPHOON,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,unicef-ph-typhoon:PDF page 10;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 10,CF-020,,,,,,,
TYP-AFT-006,1,typhoon,home;school;outdoor,after,P1_IMPORTANT,LEARNER_MUST_NOT_INSPECT_OR_REPAIR,EVIDENCE_LINKED,PAGASA;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,phivolcs-project-maghanda-broadcasters-manual-2022:PDF pages 10 and 24;unicef-ph-typhoon:PDF page 10;deped-do-033-s2021-typhoon-flood-school-preparedness:PDF pages 10 and 17,CF-016,,,,,,,
